meal_id,meal_name,tagline,prep_time,meal_type,tags/0,tags/1,tags/2,ingredients/serving_size,ingredients/list/0/item,ingredients/list/0/quantity,ingredients/list/1/item,ingredients/list/1/quantity,ingredients/list/2/item,ingredients/list/2/quantity,ingredients/list/3/item,ingredients/list/3/quantity,ingredients/list/4/item,ingredients/list/4/quantity,ingredients/list/5/item,ingredients/list/5/quantity,ingredients/list/6/item,ingredients/list/6/quantity,ingredients/list/7/item,ingredients/list/7/quantity,method/0,method/1,method/2,method/3,nutrition/serving_unit,nutrition/summary,nutrition/details/Calories,nutrition/details/Protein,nutrition/details/Carbs,nutrition/details/Fiber,nutrition/details/Fat,nutrition/details/Saturated_Fat,nutrition/details/Sugars,nutrition/details/Sodium,why_this_meal,method/4,ingredients/list/8/item,ingredients/list/8/quantity,ingredients/list/9/item,ingredients/list/9/quantity,ingredients/list/10/item,ingredients/list/10/quantity,ingredients/list/11/item,ingredients/list/11/quantity,ingredients/list/12/item,ingredients/list/12/quantity,ingredients/list/13/item,ingredients/list/13/quantity,ingredients/list/14/item,ingredients/list/14/quantity,method/5
B-0001,Blueberry Almond Overnight Oats,Fiber & Probiotic Power Bowl,5 minutes (plus 6+ hours refrigeration),Breakfast,Recovery,Energy,Better Performance,1 serving,Rolled oats,1/2 cup,Milk (dairy or unsweetened plant-based),1 cup,"Greek yogurt (plain, with live cultures)",1/4 cup,Chia seeds,1 tablespoon,Almond butter,1 tablespoon,Blueberries (fresh or frozen),1/2 cup,"Honey (optional, for sweetness)",1 teaspoon,Cinnamon (optional),1/4 teaspoon,"step 1: In a jar or bowl, combine oats, milk, yogurt, chia seeds, almond butter, and cinnamon. Stir well.",step 2: Cover and refrigerate overnight (or at least 6 hours) to let the oats soften.,"step 3: In the morning, stir the mixture. Top with blueberries and drizzle honey if desired.","step 4: Enjoy cold, or warm it up briefly if you prefer a warm breakfast.",per 1 serving,"High in protein and fiber to keep you satisfied and promote gut health (oats and chia provide prebiotic fiber, while yogurt offers probiotics).",380 kcal,20 g,50 g,12 g,12 g,2.5 g,12 g,110 mg,"This make-ahead breakfast combines fiber-rich oats and chia seeds with Greek yogurt for probiotics and protein. Blueberries add antioxidants that help fight inflammation and support muscle recovery. Together, these ingredients keep you full and fuel your gut with prebiotics and probiotics for a healthy microbiome.",,,,,,,,,,,,,,,,
B-0002,Spinach & Feta Omelette with Whole Grain Toast,Green Omelette for Muscle & Gut,10 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Eggs,2 large,Fresh spinach,1 cup (roughly chopped),Feta cheese,2 tablespoons (crumbled),Cherry tomatoes,"4, halved (for a burst of antioxidants and vitamin C)",Olive oil or butter,1 teaspoon (for cooking),Whole grain bread,"1 slice, toasted (for serving)",Salt and pepper,to taste,,,"step 1: In a bowl, beat the eggs with a pinch of salt and pepper.",step 2: Heat olive oil in a non-stick pan over medium heat. Add spinach and sauté 1 minute until wilted.,"step 3: Pour beaten eggs into the pan. Cook until the bottom sets, then sprinkle feta and tomatoes on one side.",step 4: Fold the omelette in half over the fillings. Cook another 1–2 minutes until eggs are fully set.,per 1 serving,"Packed with ~18 g protein from eggs (highly digestible) and extra from feta, plus fiber from spinach and whole grain. This meal supports gut health (leafy greens and whole grains feed good bacteria) and muscle maintenance.",300 kcal,18 g,20 g,4 g,16 g,4.5 g,3 g,400 mg,"Eggs are a “perfect protein,” containing all essential amino acids (including glutamine, which helps repair the intestinal lining). The spinach adds fiber and folate for gut and overall health, while feta cheese provides calcium and live cultures if it’s aged (bonus probiotics!). This high-protein breakfast (eggs + feta) supports muscle repair and keeps you full, and the whole grain toast contributes extra fiber for your gut.",step 5: Slide onto a plate. Serve with a slice of whole grain toast on the side.,,,,,,,,,,,,,,,
B-0003,Banana Almond Chia Smoothie,Gut-Friendly Energy Smoothie,5 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Banana,1 ripe (medium),Greek yogurt,1/2 cup (or use a scoop of protein powder as alternative),Almond butter,1 tablespoon,Chia seeds,1 teaspoon,Spinach,"1 handful (optional, for extra greens and fiber)",Unsweetened almond milk (or milk of choice),1 cup,"Honey or dates (optional, for sweetness if needed)",1–2 teaspoons,,,"step 1: Add banana, yogurt (or protein powder), almond butter, chia seeds, and spinach to a blender. Pour in the almond milk.","step 2: Blend on high until completely smooth. If too thick, add a bit more liquid; if too thin, add ice or more banana.",step 3: Taste and add honey/dates for sweetness if desired. Blend again briefly.,step 4: Pour into a glass and enjoy immediately.,per 1 serving,"Rich in protein and fiber for satiety. Contains prebiotics (banana, chia) and probiotics (yogurt) for a healthy gut, plus electrolytes like potassium for recovery.",350 kcal,20 g,40 g,8 g,14 g,1.5 g,18 g,100 mg,"This quick smoothie delivers fast energy and recovery nutrition. Banana is a low-fructose fruit rich in inulin, a prebiotic fiber that feeds good gut bacteria. Almond butter and chia seeds provide healthy fats, fiber, and plant protein, while Greek yogurt or protein powder boosts protein content for muscle repair. It’s easy to digest and perfect for a pre- or post-workout boost.",,,,,,,,,,,,,,,,
B-0004,Avocado & Cottage Cheese Power Toast,Creamy Gut-Nourishing Toast,8 minutes,Breakfast,Recovery,Energy,Power,1 serving,Whole grain bread,"1–2 slices, toasted",Cottage cheese,1/2 cup (low-fat or regular),Avocado,"1/2 medium, sliced or mashed",Cherry tomatoes,"3–4, sliced",Lemon juice,1 teaspoon (to drizzle on avocado for flavor and to prevent browning),Salt and pepper,to taste,Red chili flakes or paprika,"a pinch (optional, for a hint of spice)",,,"step 1: Toast the whole grain bread and lay the slices on a plate. Spread or arrange the avocado on the toast, slightly mashing it. Drizzle with lemon juice and sprinkle with salt and pepper.",step 2: Top the avocado with cottage cheese. Layer sliced cherry tomatoes on top of the cottage cheese.,step 3: Sprinkle with red chili flakes or paprika if desired for an extra kick. Serve immediately.,,per 1 serving,High in protein from cottage cheese and healthy fats from avocado. This combo provides sustained energy and is gentle on the gut (low in sugar and refined carbs). The whole grains and avocado add fiber for digestive health.,320 kcal,18 g,30 g,8 g,12 g,2.5 g,6 g,450 mg,"This savory breakfast toast is loaded with nutrients. Cottage cheese is high in protein and often contains live cultures similar to yogurt (great for gut health). Avocado provides fiber and potassium; it’s also a low-fructose fruit, less likely to cause bloating and rich in healthy fats that support sustained energy. The mix of protein and fiber keeps you full and supports muscle recovery, making it a power-packed start to the day.",,,,,,,,,,,,,,,,
B-0005,Protein Pancakes with Berries & Kefir,Fluffy Probiotic Pancakes for Recovery,15 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Egg,1 large,Kefir,1/2 cup (or use milk; kefir adds probiotics),Whole wheat flour,1/4 cup,Protein powder,1 scoop (unflavored or vanilla),Baking powder,1/2 teaspoon,Cinnamon,1/4 teaspoon,Salt,a pinch,Mixed berries,1/2 cup (for topping),"step 1: In a bowl, whisk together the egg, kefir, and a pinch of salt. In another bowl, mix the whole wheat flour, protein powder, baking powder, and cinnamon.","step 2: Combine the wet and dry ingredients, stirring until just combined (some lumps are okay). Let the batter sit for a few minutes to thicken slightly.","step 3: Heat a non-stick skillet over medium heat and add a little coconut oil or butter. Pour batter (~1/4 cup per pancake) onto the pan. Cook 2–3 minutes until bubbles form on top, then flip and cook another 2–3 minutes until golden. Repeat for remaining batter.",step 4: Stack the pancakes on a plate. Top with mixed berries and drizzle with maple syrup or honey if desired. Serve warm.,per 1 serving,These pancakes are high in protein and complex carbs for post-workout recovery. They contain probiotics from kefir and fiber from whole grains and berries to support gut health.,350 kcal,25 g,40 g,6 g,12 g,4.5 g,15 g,300 mg,"These pancakes sneak in protein and gut benefits while feeling indulgent. They’re made with protein-rich ingredients (eggs and kefir or protein powder) and whole grains, providing a balanced mix of carbs and protein for muscle recovery. Berries add antioxidants that reduce exercise-induced inflammation and oxidative stress, which is great for muscle recovery after workouts. The batter’s kefir adds probiotics for gut health, making this a recovery meal that also nourishes your microbiome.",,Maple syrup or honey,"1 tablespoon (for topping, optional)",Coconut oil or butter,for cooking (about 1 teaspoon),,,,,,,,,,,
B-0006,Turmeric Tofu Scramble with Vegetables,Plant-Powered Anti-Inflammatory Scramble,15 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Firm tofu,"1/2 block (about 6–7 oz), drained",Turmeric,1/2 teaspoon (for color and anti-inflammatory benefits),Cumin,1/4 teaspoon,Garlic powder,1/4 teaspoon,Salt and pepper,to taste,Olive oil,1 tablespoon (for sautéing),Mixed vegetables,"1 cup chopped (e.g., bell peppers, onions, mushrooms, zucchini)",Baby spinach,1 handful,step 1: Heat olive oil in a skillet over medium heat. Add chopped mixed vegetables and sauté for 5–7 minutes until they begin to soften. Add minced garlic (if using fresh) and cook 30 seconds until fragrant.,step 2: Crumble the drained tofu with your hands or a fork into bite-sized pieces (resembling scrambled eggs). Push the veggies to one side of the pan and add the crumbled tofu.,"step 3: Sprinkle the tofu with turmeric, cumin, garlic powder, salt, and pepper. Stir well to coat and cook for about 5–7 minutes, allowing any excess moisture from the tofu to cook off and letting the edges brown slightly.",step 4: Toss in the baby spinach and cook just until wilted (1–2 minutes). Remove from heat.,per 1 serving,"This tofu scramble is high in plant protein and provides an array of veggies. Turmeric and other spices add antioxidants and anti-inflammatory compounds, aiding muscle recovery and overall health.",300 kcal,20 g,15 g,5 g,18 g,2.5 g,4 g,250 mg,"This vegan scramble uses tofu, a fermented soy protein that provides about 10 g of complete protein per serving and is gentle on the gut. Turmeric (with its active ingredient curcumin) and cumin add anti-inflammatory benefits to help reduce muscle soreness. The mix of colorful veggies offers fiber and antioxidants for recovery and digestion. It’s a hearty, plant-powered alternative to eggs that still delivers on protein and nutrients, supporting muscle repair and gut health.","step 5: Sprinkle nutritional yeast over the scramble if using, and stir to combine. Serve hot.",Nutritional yeast,"1 tablespoon (optional, adds a cheesy flavor and B-vitamins)",,,,,,,,,,,,,
B-0007,Apple Cinnamon Yogurt Bowl with Walnuts,Gut-Soothing Protein Bowl,5 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Greek yogurt,"3/4 cup (plain, full-fat or 2%)",Apple,"1 small, diced (with skin for extra fiber)",Walnuts,"2 tablespoons, chopped",Cinnamon,1/2 teaspoon,Ground flaxseed,1 tablespoon (for extra fiber and omega-3s),Honey,"1 teaspoon (optional, for sweetness)",,,,,"step 1: In a bowl, stir the cinnamon and ground flaxseed into the Greek yogurt until well combined.",step 2: Add the diced apple on top of the yogurt.,step 3: Sprinkle the chopped walnuts over the apple and yogurt.,step 4: Drizzle with honey if desired for additional sweetness. Enjoy immediately.,per 1 serving,This bowl is rich in protein from yogurt and healthy fats from walnuts. The apple and flaxseed provide soluble fiber which supports a healthy gut and steady energy release.,250 kcal,15 g,25 g,5 g,12 g,4 g,15 g,60 mg,"This simple yogurt bowl packs a triple punch for recovery: high-quality protein from Greek yogurt, fiber from apple (especially pectin in the skin) and flaxseed to support digestion, and omega-3 fatty acids from walnuts to combat inflammation. Cinnamon helps stabilize blood sugar. It’s a soothing combo that supports muscle repair (protein) and gut health (probiotics in yogurt and fiber in fruits/nuts) while providing quick and sustained energy.",,,,,,,,,,,,,,,,
B-0008,Quinoa Breakfast Porridge with Nuts & Berries,Warm Whole-Grain Fuel,20 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Quinoa,1/4 cup dry,Water or milk,1/2 cup water (or milk of choice),Cinnamon,1/4 teaspoon,Salt,a pinch,Mixed berries,1/2 cup (fresh or frozen),Almonds or walnuts,"2 tablespoons, chopped",Greek yogurt,"2 tablespoons (to stir in at end, optional for creaminess and protein)",Honey or maple syrup,"1 teaspoon (optional, for sweetness)","step 1: Rinse the quinoa under water. In a small saucepan, combine quinoa, water (or milk), cinnamon, and a pinch of salt. Bring to a boil, then reduce heat to low. Cover and simmer ~15 minutes until water is absorbed and quinoa is tender.","step 2: Stir in a splash more liquid if needed to reach a porridge-like consistency. If using Greek yogurt instead of cooking with milk, stir it in after removing from heat (this cools the porridge slightly and adds creaminess and protein).",step 3: Transfer the quinoa porridge to a bowl. Top with mixed berries and chopped nuts.,step 4: Drizzle with honey or maple syrup if desired for sweetness. Serve warm.,per 1 serving,"Quinoa provides complete protein and complex carbs for sustained energy. Nuts add healthy fats and additional protein, while berries contribute fiber and antioxidants.",300 kcal,12 g,40 g,6 g,10 g,1.5 g,10 g,70 mg,"Quinoa is a high-protein whole grain, making it an excellent breakfast base for muscle recovery and sustained energy. This porridge gives you complex carbs and fiber for steady fuel, plus protein and probiotics if you stir in yogurt. Berries add antioxidants that reduce inflammation from exercise, and nuts provide omega-3s and magnesium for muscle function. It’s a balanced breakfast to support immunity, gut health, and muscle recovery.",,,,,,,,,,,,,,,,
B-0009,Chia Seed Pudding with Kiwi & Almonds,Omega-3 Fiber Pudding,5 minutes (plus 4+ hours refrigeration),Breakfast,Recovery,Energy,Better Performance,1 serving,Chia seeds,3 tablespoons,Milk,3/4 cup (dairy or plant-based),Vanilla extract,1/2 teaspoon,Honey or maple syrup,"2 teaspoons (optional, for sweetness)",Kiwi,"1, peeled and sliced",Almonds,"2 tablespoons, sliced or chopped",,,,,"step 1: In a jar or bowl, whisk together chia seeds, milk, vanilla extract, and honey/maple syrup (if using).","step 2: Let the mixture sit for 5 minutes, then stir again to break up any clumps of chia seeds.","step 3: Cover and refrigerate at least 4 hours or overnight, until the chia pudding is thick and creamy.","step 4: When ready to eat, stir the pudding. Top with sliced kiwi and sprinkle with almonds. Enjoy chilled.",per 1 serving,"Chia seeds are rich in fiber and omega-3 fatty acids, which help reduce inflammation. The pudding provides a good balance of healthy fats, fiber, and protein (especially if using dairy milk), keeping you full and supporting gut health.",250 kcal,8 g,25 g,10 g,14 g,2.5 g,10 g,50 mg,"Chia seeds are tiny nutritional powerhouses – they’re packed with fiber (10 g per 2 tablespoons) and omega-3s, which lower inflammation. This make-ahead pudding gives a dose of healthy fats and fiber that promote a healthy gut and heart. Kiwi adds vitamin C and more fiber, and almonds contribute vitamin E and magnesium. It’s a convenient, nutrient-dense breakfast or snack that supports digestion and recovery.",,,,,,,,,,,,,,,,
B-0010,Berry Beet Smoothie Bowl,Antioxidant-Rich Performance Bowl,8 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Beetroot,"1 small, cooked and chopped (or 1/2 cup canned unsalted beets)",Mixed berries,"1 cup (frozen or fresh; e.g., strawberries, blueberries)",Greek yogurt,"1/2 cup (or unsweetened protein powder, 1 scoop)",Banana,"1/2 (preferably frozen, for thickness)",Almond milk,1/2 cup (or milk of choice),Honey,"1 teaspoon (optional, for sweetness)",Granola or crushed nuts,"2 tablespoons (for topping, optional)",,,"step 1: In a blender, combine the cooked beetroot, mixed berries, Greek yogurt (or protein powder), banana, and almond milk. Blend until completely smooth. Add a little extra liquid if needed to reach desired consistency.",step 2: Taste and add honey if additional sweetness is desired. Blend again briefly.,"step 3: Pour the smoothie into a bowl. If it’s too thin, you can place it in the freezer for 10 minutes to thicken.","step 4: Top with granola or crushed nuts for some crunch, if desired. Enjoy with a spoon.",per 1 serving,"This vibrant bowl is loaded with natural nitrates from beets, which can improve blood flow and endurance. It also provides ample antioxidants from berries and beets to combat inflammation.",250 kcal,15 g,35 g,8 g,4 g,1.5 g,20 g,150 mg,"This smoothie bowl is both a recovery booster and a performance enhancer. The natural nitrates in beets may improve blood flow, helping exercise performance and recovery. Berries add antioxidants that fight inflammation and oxidative stress from workouts. Greek yogurt or protein powder ensures you get ~15+ grams of protein for muscle repair. Together, the ingredients offer muscle recovery and complex carbs for energy. The bowl is also high in fiber (beets and berries) to support gut health.",,,,,,,,,,,,,,,,
