meal_id,meal_name,meal_type,tagline,prep_time,ingredients,method,nutrition,why_this_meal,tags
B-0014,Kimchi & Egg Brown Rice Bowl,Breakfast,Probiotic-Powered Savory Start,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Cooked brown rice"",""quantity"":""1 cup (preferably warm)""},{""item"":""Egg"",""quantity"":""1 large, fried or sunny-side up""},{""item"":""Kimchi"",""quantity"":""1/2 cup (fermented spicy cabbage)""},{""item"":""Baby spinach"",""quantity"":""1 cup (lightly sautéed or steamed)""},{""item"":""Green onions"",""quantity"":""1 tbsp, chopped (for garnish)""},{""item"":""Sesame seeds"",""quantity"":""1 tsp (for garnish, optional)""},{""item"":""Low-sodium soy sauce or tamari"",""quantity"":""1 tsp (for drizzling)""},{""item"":""Sesame oil"",""quantity"":""1/2 tsp (for flavor, optional)""}]}","[""step 1: Place warm brown rice in bowl. Top with sautéed spinach and a generous heap of kimchi."",""step 2: Fry the egg to desired doneness; place it on top of the bowl."",""step 3: Drizzle with soy sauce and sesame oil. Garnish with chopped green onions and seeds.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 350 Calories, 15g Protein, 6g Fiber. Quality protein and ample complex carbs restore glycogen and energy."",""details"":{""Calories"":""350 kcal"",""Protein"":""15 g"",""Carbs"":""45 g"",""Fiber"":""6 g"",""Fat"":""10 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""4 g"",""Sodium"":""350 mg""}}","The **Kimchi is rich in probiotics** to support your gut microbiome, which helps reduce inflammation and promote muscle recovery. Spinach adds **magnesium**, linked to better sleep quality, and iron combats fatigue. This breakfast supports your recovery and fuels performance.","[""Recovery"",""Energy"",""Better Performance""]"
B-0015,Chocolate Almond Buckwheat Porridge,Breakfast,Overnight Fiber & Protein Fuel,5 minutes (plus overnight soak),"{""serving_size"":""1 serving"",""list"":[{""item"":""Buckwheat groats"",""quantity"":""1/4 cup (dry)""},{""item"":""Milk (dairy or unsweetened almond milk)"",""quantity"":""1 cup""},{""item"":""Greek yogurt"",""quantity"":""1/4 cup (plain, with live cultures)""},{""item"":""Cocoa powder (unsweetened)"",""quantity"":""1 tbsp""},{""item"":""Almond butter"",""quantity"":""1 tbsp""},{""item"":""Ground flaxseed"",""quantity"":""1 tbsp (adds fiber and omega-3s)""},{""item"":""Honey or maple syrup"",""quantity"":""1 tsp (optional, for sweetness)""},{""item"":""Sliced almonds"",""quantity"":""1 tbsp (for topping)""}]}","[""step 1: In a jar or bowl, combine groats, milk, yogurt, cocoa, nut butter, flaxseed, and honey (optional)."",""step 2: Cover and refrigerate overnight (at least 6 hours) to soften groats."",""step 3: Stir well in morning, loosen with milk if thick. Top with almonds and fresh berries.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 400 Calories, 18g Protein, 10g Fiber. High-quality fiber feeds gut bacteria and supports digestion."",""details"":{""Calories"":""400 kcal"",""Protein"":""18 g"",""Carbs"":""50 g"",""Fiber"":""10 g"",""Fat"":""15 g"",""Saturated_Fat"":""3 g"",""Sugars"":""14 g"",""Sodium"":""110 mg""}}","Provides **~18 grams of protein** for muscle repair, essential during low recovery. Almonds contribute **magnesium** for improved sleep quality. **Cocoa polyphenols** combat inflammation, and **probiotics** aid gut health and energy.","[""Recovery"",""Energy"",""Better Performance""]"
B-0016,Mocha Banana Protein Smoothie,Breakfast,Morning Mocha for Energy & Focus,5 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Banana"",""quantity"":""1 medium (preferably frozen, for creaminess)""},{""item"":""Brewed coffee (cooled)"",""quantity"":""1/4 cup (or 1 tsp instant coffee powder)""},{""item"":""Milk or almond milk"",""quantity"":""3/4 cup""},{""item"":""Protein powder"",""quantity"":""1 scoop (vanilla or chocolate flavor; ~20–25 g protein)""},{""item"":""Cocoa powder"",""quantity"":""2 tsp (unsweetened)""},{""item"":""Baby spinach"",""quantity"":""1 handful (about 1 cup lightly packed, optional – boosts nutrients without affecting flavor)""},{""item"":""Peanut butter"",""quantity"":""1 tbsp (for healthy fats and protein)""},{""item"":""Ice"",""quantity"":""a few cubes (if banana isn’t frozen, to chill the smoothie)""}]}","[""step 1: Add all ingredients (banana, coffee, milk, protein powder, cocoa, spinach, peanut butter, and ice) to the blender."",""step 2: Blend on high until completely smooth and creamy."",""step 3: Pour and enjoy immediately.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 350 Calories, 28g Protein, 6g Fiber. High protein (≥25 g) aids muscle recovery and mixed ingredients stabilize blood sugar."",""details"":{""Calories"":""350 kcal"",""Protein"":""28 g"",""Carbs"":""40 g"",""Fiber"":""6 g"",""Fat"":""10 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""18 g"",""Sodium"":""150 mg""}}",Delivers high protein (≥25 g) to aid muscle recovery. **Caffeine improves alertness and performance** (helpful for suboptimal sleep). Spinach provides **iron and magnesium** to support energy and muscle function. Protein/fats ensure blood sugar stability and better recovery.,"[""Energy"",""Better Performance"",""Recovery""]"
B-0017,Sauerkraut & Egg Breakfast Burrito,Breakfast,Gut-Friendly Power Wrap,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Whole-grain tortilla"",""quantity"":""1 medium (8-inch)""},{""item"":""Eggs"",""quantity"":""2 large""},{""item"":""Black beans"",""quantity"":""1/4 cup (cooked or canned, drained)""},{""item"":""Sauerkraut"",""quantity"":""1/4 cup (fermented cabbage, drained)""},{""item"":""Red bell pepper"",""quantity"":""1/4 cup, diced (adds vitamin C and crunch)""},{""item"":""Baby kale or spinach"",""quantity"":""1/2 cup (chopped)""},{""item"":""Olive oil"",""quantity"":""1 tsp (for cooking)""},{""item"":""Cheddar or Swiss cheese"",""quantity"":""2 tbsp, shredded (optional for extra flavor/protein)""}]}","[""step 1: Sauté pepper/greens in oil; scramble with eggs/beans until set."",""step 2: Warm tortilla; place egg scramble, cheese (opt), and sauerkraut in center."",""step 3: Fold tightly into a burrito (opt. briefly toast to seal)."",""step 4: Serve immediately with hot sauce (optional).""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 420 Calories, 24g Protein, 8g Fiber. Hearty burrito packing protein, fiber, and probiotics."",""details"":{""Calories"":""420 kcal"",""Protein"":""24 g"",""Carbs"":""38 g"",""Fiber"":""8 g"",""Fat"":""18 g"",""Saturated_Fat"":""5 g"",""Sugars"":""5 g"",""Sodium"":""650 mg""}}","Provides **~24g protein** for muscle repair. **Sauerkraut is rich in probiotics** that bolster gut health, lower inflammation, and enhance recovery. Bell pepper adds **vitamin C** for tissue repair, and leafy greens contribute **magnesium**. Balanced macros provide sustained energy and support digestion.","[""Recovery"",""Energy"",""Better Performance""]"
B-0018,Pumpkin Spice Protein Pancakes,Breakfast,Fall-Flavored Muscle Fuel,15 minutes,"{""serving_size"":""1 serving (~3 pancakes)"",""list"":[{""item"":""Oat flour or whole-wheat flour"",""quantity"":""1/4 cup (you can blitz oats into flour)""},{""item"":""Vanilla protein powder"",""quantity"":""1 scoop (~20 g protein)""},{""item"":""Egg"",""quantity"":""1 large (binds batter and adds protein)""},{""item"":""Pumpkin puree"",""quantity"":""1/4 cup (canned or homemade)""},{""item"":""Milk (or almond milk)"",""quantity"":""1/4 cup""},{""item"":""Baking powder"",""quantity"":""1/2 tsp (for fluffiness)""},{""item"":""Cinnamon"",""quantity"":""1/2 tsp""},{""item"":""Ground ginger"",""quantity"":""1/4 tsp""}]}","[""step 1: Whisk dry ingredients. Mix wet ingredients separately (pumpkin, egg, milk). Combine until just mixed."",""step 2: Cook batter on oiled skillet for 2–3 minutes per side until golden."",""step 3: Stack pancakes; top with Greek yogurt (probiotics), walnuts/pecans, and optional maple syrup.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 380 Calories, 28g Protein, 6g Fiber. Strategically formulated for muscle recovery and gut health."",""details"":{""Calories"":""380 kcal"",""Protein"":""28 g"",""Carbs"":""40 g"",""Fiber"":""6 g"",""Fat"":""12 g"",""Saturated_Fat"":""3 g"",""Sugars"":""12 g"",""Sodium"":""300 mg""}}","Provides nearly **30g of protein** for muscle rebuilding. **Ginger reduces post-exercise muscle soreness**. **Greek yogurt adds probiotics** and walnuts supply **omega-3 fats**, enhancing recovery benefits. The **magnesium in pumpkin/grains** supports muscle relaxation and can improve your next sleep cycle.","[""Recovery"",""Better Performance"",""Energy""]"
B-0019,Berry Yogurt French Toast,Breakfast,High-Protein Morning Treat,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Whole-grain bread"",""quantity"":""2 slices (preferably day-old, for sturdiness)""},{""item"":""Eggs"",""quantity"":""1 large + 1 egg white (or use 2 whole eggs for simplicity)""},{""item"":""Milk"",""quantity"":""2 tbsp""},{""item"":""Cinnamon"",""quantity"":""1/4 tsp""},{""item"":""Vanilla extract"",""quantity"":""1/4 tsp (optional, for flavor)""},{""item"":""Greek yogurt"",""quantity"":""1/2 cup (plain; use as topping)""},{""item"":""Mixed berries"",""quantity"":""1 cup (e.g., strawberries, blueberries)""},{""item"":""Honey"",""quantity"":""1 tsp (to drizzle on top, optional)""}]}","[""step 1: Whisk egg, milk, cinnamon, and vanilla for custard."",""step 2: Soak whole-grain bread slices in custard for 15–20 seconds per side."",""step 3: Cook on oiled skillet for 3 minutes per side until golden."",""step 4: Top with Greek yogurt (probiotics), mixed berries (antioxidants), and optional honey.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 320 Calories, 20g Protein, 8g Fiber. High-quality protein and gut-friendly fiber for muscle recovery and steady energy."",""details"":{""Calories"":""320 kcal"",""Protein"":""20 g"",""Carbs"":""40 g"",""Fiber"":""8 g"",""Fat"":""9 g"",""Saturated_Fat"":""4.5 g"",""Sugars"":""18 g"",""Sodium"":""300 mg""}}","Provides **~20 g of high-quality protein** for muscle repair. **Greek yogurt adds probiotic cultures** to enhance gut health and reduce inflammation. Mixed berries add **antioxidants** that fight inflammation and oxidative stress. Whole-grain base provides stable, sustained energy.","[""Recovery"",""Energy"",""Better Performance""]"
B-0020,Green Gut Smoothie Bowl,Breakfast,Antioxidant-Rich Green Fuel,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Banana"",""quantity"":""1 small (frozen, for thickness)""},{""item"":""Avocado"",""quantity"":""1/4 of a medium (adds creaminess, healthy fats)""},{""item"":""Spinach"",""quantity"":""1 cup (fresh or frozen)""},{""item"":""Kale"",""quantity"":""1/2 cup (stems removed; or use more spinach)""},{""item"":""Protein powder (unflavored or vanilla)"",""quantity"":""1 scoop (~20 g protein)""},{""item"":""Kefir or yogurt"",""quantity"":""1/4 cup (plain, for probiotics and tang)""},{""item"":""Pineapple"",""quantity"":""1/2 cup chunks (frozen if possible, for sweetness and bromelain)""},{""item"":""Ginger"",""quantity"":""1/2 inch piece, grated (or 1/4 tsp ground ginger)""}]}","[""step 1: Blend all base ingredients (banana, avocado, greens, protein powder, kefir, pineapple, and ginger) until smooth and thick."",""step 2: Pour or spoon the smoothie into a bowl."",""step 3: Top with pumpkin seeds, kiwi, and coconut flakes (optional) for texture and nutrients.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 400 Calories, 25g Protein, 9g Fiber. Powerhouse formulated to combat poor sleep and strain with high protein and magnesium."",""details"":{""Calories"":""400 kcal"",""Protein"":""25 g"",""Carbs"":""45 g"",""Fiber"":""9 g"",""Fat"":""14 g"",""Saturated_Fat"":""3 g"",""Sugars"":""18 g"",""Sodium"":""150 mg""}}",Leafy greens provide **magnesium** to support muscle function and promote relaxation for **better sleep quality**. Delivers **~25g of protein** for muscle repair. **Kefir adds probiotics** to modulate inflammation and enhance muscle recovery. **Ginger and pineapple (bromelain)** further reduce inflammation and aid digestion.,"[""Recovery"",""Better Performance"",""Energy""]"
B-0021,Savory Miso Oatmeal with Egg,Breakfast,Umami Breakfast for Gut Health,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Rolled oats"",""quantity"":""1/2 cup (dry)""},{""item"":""Water or broth"",""quantity"":""1 cup (for cooking oats; using low-sodium broth adds flavor)""},{""item"":""White or yellow miso paste"",""quantity"":""2 tsp (fermented soybean paste)""},{""item"":""Egg"",""quantity"":""1 large""},{""item"":""Scallions"",""quantity"":""2 tbsp, green parts sliced (for garnish)""},{""item"":""Baby spinach"",""quantity"":""1 cup (to stir in)""},{""item"":""Sesame oil"",""quantity"":""1/2 tsp (optional, for flavor)""},{""item"":""Salt and pepper"",""quantity"":""to taste (go easy on salt since miso is salty)""}]}","[""step 1: Cook oats in water or broth for 5 minutes until creamy."",""step 2: Turn off heat; stir in miso paste (probiotics) and spinach to wilt."",""step 3: Quickly fry or poach an egg with a runny yolk."",""step 4: Top oatmeal with egg, sesame oil, scallions, and pepper.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 300 Calories, 15g Protein, 6g Fiber. Excellent for gut health and high-quality protein."",""details"":{""Calories"":""300 kcal"",""Protein"":""15 g"",""Carbs"":""40 g"",""Fiber"":""6 g"",""Fat"":""9 g"",""Saturated_Fat"":""2 g"",""Sugars"":""3 g"",""Sodium"":""450 mg""}}","Miso paste infuses the oats with **probiotics** that support your gut microbiota and reduce inflammation. Oats are rich in **beta-glucan fiber** for stable blood sugar and sustained energy. **Egg adds complete protein** and choline for brain function. Spinach boosts **magnesium**, contributing to muscle relaxation and recovery.","[""Recovery"",""Energy"",""Better Performance""]"
B-0022,Cottage Cheese & Spinach Scramble,Breakfast,Creamy High-Protein Scramble,10 minutes,"{""serving_size"":""1 serving (without toast)"",""list"":[{""item"":""Eggs"",""quantity"":""2 large""},{""item"":""Cottage cheese"",""quantity"":""1/4 cup (low-fat or full-fat, as preferred)""},{""item"":""Fresh spinach"",""quantity"":""1 cup (chopped)""},{""item"":""Cherry tomatoes"",""quantity"":""4, halved""},{""item"":""Olive oil or butter"",""quantity"":""1 tsp (for the pan)""},{""item"":""Dried oregano"",""quantity"":""1/4 tsp (optional, for flavor)""},{""item"":""Salt and black pepper"",""quantity"":""to taste""},{""item"":""To serve (optional)"",""quantity"":""1 slice whole-grain toast on the side""}]}","[""step 1: Whisk eggs; stir in cottage cheese, salt, pepper, and oregano (opt)."",""step 2: Sauté spinach/tomatoes in oil. Pour in egg mixture."",""step 3: Scramble gently until just set; remove from heat to keep moist."",""step 4: Serve immediately, optionally with whole-grain toast.""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 250 Calories, 20g Protein, 2g Fiber. A protein bomb, ideal for jump-starting muscle recovery and avoiding mid-morning crashes."",""details"":{""Calories"":""250 kcal"",""Protein"":""20 g"",""Carbs"":""6 g"",""Fiber"":""2 g"",""Fat"":""15 g"",""Saturated_Fat"":""5 g"",""Sugars"":""4 g"",""Sodium"":""450 mg""}}","Provides **~20g protein** (eggs + **casein** from cottage cheese) for muscle repair. Cottage cheese adds **probiotics** for gut health and creamy texture. **Spinach's magnesium** aids muscle relaxation and is linked to better sleep quality. High protein/fat keeps you satiated, regulating stress hormones.","[""Recovery"",""Better Performance"",""Energy""]"
B-0023,Sweet Potato Black Bean Hash,Breakfast,Fiber-Packed Breakfast Hash,15 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Sweet potato"",""quantity"":""1 small (about 5 oz), peeled and diced into 1/2-inch cubes""},{""item"":""Black beans"",""quantity"":""1/3 cup (cooked or canned, drained and rinsed)""},{""item"":""Egg"",""quantity"":""1 large (fried or poached, to top the hash)""},{""item"":""Red bell pepper"",""quantity"":""1/4 cup, diced""},{""item"":""Yellow onion"",""quantity"":""2 tbsp, finely chopped""},{""item"":""Garlic"",""quantity"":""1 clove, minced""},{""item"":""Olive oil"",""quantity"":""1 tbsp (for sautéing)""},{""item"":""Ground cumin"",""quantity"":""1/4 tsp (for warm flavor and digestion)""}]}","[""step 1: Sauté potato, onion, and pepper in oil for ~8–10 mins until softened."",""step 2: Add garlic/spices; stir in black beans and cook 2–3 minutes until potatoes are tender."",""step 3: Fry or poach an egg separately."",""step 4: Top hash with egg, cilantro, and optional Greek yogurt (probiotics).""]","{""serving_unit"":""per 1 serving"",""summary"":""Approx 380 Calories, 17g Protein, 10g Fiber. Superb balance of complex carbs and fiber for steady energy and satiety."",""details"":{""Calories"":""380 kcal"",""Protein"":""17 g"",""Carbs"":""45 g"",""Fiber"":""10 g"",""Fat"":""15 g"",""Saturated_Fat"":""3 g"",""Sugars"":""12 g"",""Sodium"":""250 mg""}}",Provides **~10g fiber** to feed gut microbes and stabilize blood sugar. Black beans are rich in **magnesium and potassium** (electrolytes depleted by strain). Egg ensures all **essential amino acids** for muscle repair. Optional Greek yogurt adds **probiotics**.,"[""Energy"",""Recovery"",""Better Performance""]"
