meal_id,meal_name,tagline,prep_time,meal_type,tags/0,tags/1,tags/2,ingredients/serving_size,ingredients/list/0/item,ingredients/list/0/quantity,ingredients/list/1/item,ingredients/list/1/quantity,ingredients/list/2/item,ingredients/list/2/quantity,ingredients/list/3/item,ingredients/list/3/quantity,ingredients/list/4/item,ingredients/list/4/quantity,ingredients/list/5/item,ingredients/list/5/quantity,ingredients/list/6/item,ingredients/list/6/quantity,ingredients/list/7/item,ingredients/list/7/quantity,method/0,method/1,method/2,nutrition/serving_unit,nutrition/summary,nutrition/details/Calories,nutrition/details/Protein,nutrition/details/Carbs,nutrition/details/Fiber,nutrition/details/Fat,nutrition/details/Saturated_Fat,nutrition/details/Sugars,nutrition/details/Sodium,why_this_meal,ingredients/list/8/item,ingredients/list/8/quantity,ingredients/list/9/item,ingredients/list/9/quantity,method/3,ingredients/list/10/item,ingredients/list/10/quantity,ingredients/list/11/item,ingredients/list/11/quantity,ingredients/list/12/item,ingredients/list/12/quantity,ingredients/list/13/item,ingredients/list/13/quantity,method/4,ingredients/list/14/item,ingredients/list/14/quantity,ingredients/list/15/item,ingredients/list/15/quantity,ingredients/list/16/item,ingredients/list/16/quantity,ingredients/list/17/item,ingredients/list/17/quantity,method/5
B-0014,Kimchi & Egg Brown Rice Bowl,Probiotic-Powered Savory Start,10 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Cooked brown rice,1 cup (preferably warm),Egg,"1 large, fried or sunny-side up",Kimchi,1/2 cup (fermented spicy cabbage),Baby spinach,1 cup (lightly sautéed or steamed),Green onions,"1 tbsp, chopped (for garnish)",Sesame seeds,"1 tsp (for garnish, optional)",Low-sodium soy sauce or tamari,1 tsp (for drizzling),Sesame oil,"1/2 tsp (for flavor, optional)",step 1: Place warm brown rice in bowl. Top with sautéed spinach and a generous heap of kimchi.,step 2: Fry the egg to desired doneness; place it on top of the bowl.,step 3: Drizzle with soy sauce and sesame oil. Garnish with chopped green onions and seeds.,per 1 serving,"Approx 350 Calories, 15g Protein, 6g Fiber. Quality protein and ample complex carbs restore glycogen and energy.",350 kcal,15 g,45 g,6 g,10 g,2.5 g,4 g,350 mg,"The **Kimchi is rich in probiotics** to support your gut microbiome, which helps reduce inflammation and promote muscle recovery. Spinach adds **magnesium**, linked to better sleep quality, and iron combats fatigue. This breakfast supports your recovery and fuels performance.",,,,,,,,,,,,,,,,,,,,,,,
B-0015,Chocolate Almond Buckwheat Porridge,Overnight Fiber & Protein Fuel,5 minutes (plus overnight soak),Breakfast,Recovery,Energy,Better Performance,1 serving,Buckwheat groats,1/4 cup (dry),Milk (dairy or unsweetened almond milk),1 cup,Greek yogurt,"1/4 cup (plain, with live cultures)",Cocoa powder (unsweetened),1 tbsp,Almond butter,1 tbsp,Ground flaxseed,1 tbsp (adds fiber and omega-3s),Honey or maple syrup,"1 tsp (optional, for sweetness)",Sliced almonds,1 tbsp (for topping),"step 1: In a jar or bowl, combine groats, milk, yogurt, cocoa, nut butter, flaxseed, and honey (optional).",step 2: Cover and refrigerate overnight (at least 6 hours) to soften groats.,"step 3: Stir well in morning, loosen with milk if thick. Top with almonds and fresh berries.",per 1 serving,"Approx 400 Calories, 18g Protein, 10g Fiber. High-quality fiber feeds gut bacteria and supports digestion.",400 kcal,18 g,50 g,10 g,15 g,3 g,14 g,110 mg,"Provides **~18 grams of protein** for muscle repair, essential during low recovery. Almonds contribute **magnesium** for improved sleep quality. **Cocoa polyphenols** combat inflammation, and **probiotics** aid gut health and energy.","Berries (e.g., blueberries or raspberries)","1/2 cup, for topping",,,,,,,,,,,,,,,,,,,,,
B-0016,Mocha Banana Protein Smoothie,Morning Mocha for Energy & Focus,5 minutes,Breakfast,Energy,Better Performance,Recovery,1 serving,Banana,"1 medium (preferably frozen, for creaminess)",Brewed coffee (cooled),1/4 cup (or 1 tsp instant coffee powder),Milk or almond milk,3/4 cup,Protein powder,1 scoop (vanilla or chocolate flavor; ~20–25 g protein),Cocoa powder,2 tsp (unsweetened),Baby spinach,"1 handful (about 1 cup lightly packed, optional – boosts nutrients without affecting flavor)",Peanut butter,1 tbsp (for healthy fats and protein),Ice,"a few cubes (if banana isn’t frozen, to chill the smoothie)","step 1: Add all ingredients (banana, coffee, milk, protein powder, cocoa, spinach, peanut butter, and ice) to the blender.",step 2: Blend on high until completely smooth and creamy.,step 3: Pour and enjoy immediately.,per 1 serving,"Approx 350 Calories, 28g Protein, 6g Fiber. High protein (≥25 g) aids muscle recovery and mixed ingredients stabilize blood sugar.",350 kcal,28 g,40 g,6 g,10 g,2.5 g,18 g,150 mg,Delivers high protein (≥25 g) to aid muscle recovery. **Caffeine improves alertness and performance** (helpful for suboptimal sleep). Spinach provides **iron and magnesium** to support energy and muscle function. Protein/fats ensure blood sugar stability and better recovery.,,,,,,,,,,,,,,,,,,,,,,,
B-0017,Sauerkraut & Egg Breakfast Burrito,Gut-Friendly Power Wrap,10 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Whole-grain tortilla,1 medium (8-inch),Eggs,2 large,Black beans,"1/4 cup (cooked or canned, drained)",Sauerkraut,"1/4 cup (fermented cabbage, drained)",Red bell pepper,"1/4 cup, diced (adds vitamin C and crunch)",Baby kale or spinach,1/2 cup (chopped),Olive oil,1 tsp (for cooking),Cheddar or Swiss cheese,"2 tbsp, shredded (optional for extra flavor/protein)",step 1: Sauté pepper/greens in oil; scramble with eggs/beans until set.,"step 2: Warm tortilla; place egg scramble, cheese (opt), and sauerkraut in center.",step 3: Fold tightly into a burrito (opt. briefly toast to seal).,per 1 serving,"Approx 420 Calories, 24g Protein, 8g Fiber. Hearty burrito packing protein, fiber, and probiotics.",420 kcal,24 g,38 g,8 g,18 g,5 g,5 g,650 mg,"Provides **~24g protein** for muscle repair. **Sauerkraut is rich in probiotics** that bolster gut health, lower inflammation, and enhance recovery. Bell pepper adds **vitamin C** for tissue repair, and leafy greens contribute **magnesium**. Balanced macros provide sustained energy and support digestion.",Black pepper,to taste (a pinch),Hot sauce,to taste (optional),step 4: Serve immediately with hot sauce (optional).,,,,,,,,,,,,,,,,,,
B-0018,Pumpkin Spice Protein Pancakes,Fall-Flavored Muscle Fuel,15 minutes,Breakfast,Recovery,Better Performance,Energy,1 serving (~3 pancakes),Oat flour or whole-wheat flour,1/4 cup (you can blitz oats into flour),Vanilla protein powder,1 scoop (~20 g protein),Egg,1 large (binds batter and adds protein),Pumpkin puree,1/4 cup (canned or homemade),Milk (or almond milk),1/4 cup,Baking powder,1/2 tsp (for fluffiness),Cinnamon,1/2 tsp,Ground ginger,1/4 tsp,"step 1: Whisk dry ingredients. Mix wet ingredients separately (pumpkin, egg, milk). Combine until just mixed.",step 2: Cook batter on oiled skillet for 2–3 minutes per side until golden.,"step 3: Stack pancakes; top with Greek yogurt (probiotics), walnuts/pecans, and optional maple syrup.",per serving (with toppings),"Approx 380 Calories, 28g Protein, 6g Fiber. Strategically formulated for muscle recovery and gut health.",380 kcal,28 g,40 g,6 g,12 g,3 g,12 g,300 mg,"Provides nearly **30g of protein** for muscle rebuilding. **Ginger reduces post-exercise muscle soreness**. **Greek yogurt adds probiotics** and walnuts supply **omega-3 fats**, enhancing recovery benefits. The **magnesium in pumpkin/grains** supports muscle relaxation and can improve your next sleep cycle.",Nutmeg,1/8 tsp (a pinch),Salt,a pinch,,Olive oil or coconut oil,1 tsp (for cooking),Toppings: Greek yogurt,2 tbsp,Toppings: chopped walnuts or pecans,1 tbsp,Toppings: drizzle of maple syrup,1 tsp (optional),,,,,,,,,,
B-0019,Berry Yogurt French Toast,High-Protein Morning Treat,10 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Whole-grain bread,"2 slices (preferably day-old, for sturdiness)",Eggs,1 large + 1 egg white (or use 2 whole eggs for simplicity),Milk,2 tbsp,Cinnamon,1/4 tsp,Vanilla extract,"1/4 tsp (optional, for flavor)",Greek yogurt,1/2 cup (plain; use as topping),Mixed berries,"1 cup (e.g., strawberries, blueberries)",Honey,"1 tsp (to drizzle on top, optional)","step 1: Whisk egg, milk, cinnamon, and vanilla for custard.",step 2: Soak whole-grain bread slices in custard for 15–20 seconds per side.,step 3: Cook on oiled skillet for 3 minutes per side until golden.,per serving,"Approx 320 Calories, 20g Protein, 8g Fiber. High-quality protein and gut-friendly fiber for muscle recovery and steady energy.",320 kcal,20 g,40 g,8 g,9 g,4.5 g,18 g,300 mg,"Provides **~20 g of high-quality protein** for muscle repair. **Greek yogurt adds probiotic cultures** to enhance gut health and reduce inflammation. Mixed berries add **antioxidants** that fight inflammation and oxidative stress. Whole-grain base provides stable, sustained energy.",Butter or coconut oil,1 tsp (for the pan),,,"step 4: Top with Greek yogurt (probiotics), mixed berries (antioxidants), and optional honey.",,,,,,,,,,,,,,,,,,
B-0020,Green Gut Smoothie Bowl,Antioxidant-Rich Green Fuel,10 minutes,Breakfast,Recovery,Better Performance,Energy,1 serving,Banana,"1 small (frozen, for thickness)",Avocado,"1/4 of a medium (adds creaminess, healthy fats)",Spinach,1 cup (fresh or frozen),Kale,1/2 cup (stems removed; or use more spinach),Protein powder (unflavored or vanilla),1 scoop (~20 g protein),Kefir or yogurt,"1/4 cup (plain, for probiotics and tang)",Pineapple,"1/2 cup chunks (frozen if possible, for sweetness and bromelain)",Ginger,"1/2 inch piece, grated (or 1/4 tsp ground ginger)","step 1: Blend all base ingredients (banana, avocado, greens, protein powder, kefir, pineapple, and ginger) until smooth and thick.",step 2: Pour or spoon the smoothie into a bowl.,"step 3: Top with pumpkin seeds, kiwi, and coconut flakes (optional) for texture and nutrients.",per serving,"Approx 400 Calories, 25g Protein, 9g Fiber. Powerhouse formulated to combat poor sleep and strain with high protein and magnesium.",400 kcal,25 g,45 g,9 g,14 g,3 g,18 g,150 mg,Leafy greens provide **magnesium** to support muscle function and promote relaxation for **better sleep quality**. Delivers **~25g of protein** for muscle repair. **Kefir adds probiotics** to modulate inflammation and enhance muscle recovery. **Ginger and pineapple (bromelain)** further reduce inflammation and aid digestion.,Water or almond milk,"1/4 cup (to blend, add more if needed)",Toppings: Pumpkin seeds,1 tbsp,,Toppings: kiwi,1 sliced,Toppings: unsweetened coconut flakes,1 tbsp (optional),,,,,,,,,,,,,,
B-0021,Savory Miso Oatmeal with Egg,Umami Breakfast for Gut Health,10 minutes,Breakfast,Recovery,Energy,Better Performance,1 serving,Rolled oats,1/2 cup (dry),Water or broth,1 cup (for cooking oats; using low-sodium broth adds flavor),White or yellow miso paste,2 tsp (fermented soybean paste),Egg,1 large,Scallions,"2 tbsp, green parts sliced (for garnish)",Baby spinach,1 cup (to stir in),Sesame oil,"1/2 tsp (optional, for flavor)",Salt and pepper,to taste (go easy on salt since miso is salty),step 1: Cook oats in water or broth for 5 minutes until creamy.,step 2: Turn off heat; stir in miso paste (probiotics) and spinach to wilt.,step 3: Quickly fry or poach an egg with a runny yolk.,per 1 serving,"Approx 300 Calories, 15g Protein, 6g Fiber. Excellent for gut health and high-quality protein.",300 kcal,15 g,40 g,6 g,9 g,2 g,3 g,450 mg,"Miso paste infuses the oats with **probiotics** that support your gut microbiota and reduce inflammation. Oats are rich in **beta-glucan fiber** for stable blood sugar and sustained energy. **Egg adds complete protein** and choline for brain function. Spinach boosts **magnesium**, contributing to muscle relaxation and recovery.",,,,,"step 4: Top oatmeal with egg, sesame oil, scallions, and pepper.",,,,,,,,,,,,,,,,,,
B-0022,Cottage Cheese & Spinach Scramble,Creamy High-Protein Scramble,10 minutes,Breakfast,Recovery,Better Performance,Energy,1 serving (without toast),Eggs,2 large,Cottage cheese,"1/4 cup (low-fat or full-fat, as preferred)",Fresh spinach,1 cup (chopped),Cherry tomatoes,"4, halved",Olive oil or butter,1 tsp (for the pan),Dried oregano,"1/4 tsp (optional, for flavor)",Salt and black pepper,to taste,To serve (optional),1 slice whole-grain toast on the side,"step 1: Whisk eggs; stir in cottage cheese, salt, pepper, and oregano (opt).",step 2: Sauté spinach/tomatoes in oil. Pour in egg mixture.,step 3: Scramble gently until just set; remove from heat to keep moist.,per 1 serving (without toast),"Approx 250 Calories, 20g Protein, 2g Fiber. A protein bomb, ideal for jump-starting muscle recovery and avoiding mid-morning crashes.",250 kcal,20 g,6 g,2 g,15 g,5 g,4 g,450 mg,"Provides **~20g protein** (eggs + **casein** from cottage cheese) for muscle repair. Cottage cheese adds **probiotics** for gut health and creamy texture. **Spinach's magnesium** aids muscle relaxation and is linked to better sleep quality. High protein/fat keeps you satiated, regulating stress hormones.",,,,,"step 4: Serve immediately, optionally with whole-grain toast.",,,,,,,,,,,,,,,,,,
B-0023,Sweet Potato Black Bean Hash,Fiber-Packed Breakfast Hash,15 minutes,Breakfast,Energy,Recovery,Better Performance,1 serving,Sweet potato,"1 small (about 5 oz), peeled and diced into 1/2-inch cubes",Black beans,"1/3 cup (cooked or canned, drained and rinsed)",Egg,"1 large (fried or poached, to top the hash)",Red bell pepper,"1/4 cup, diced",Yellow onion,"2 tbsp, finely chopped",Garlic,"1 clove, minced",Olive oil,1 tbsp (for sautéing),Ground cumin,1/4 tsp (for warm flavor and digestion),"step 1: Sauté potato, onion, and pepper in oil for ~8–10 mins until softened.",step 2: Add garlic/spices; stir in black beans and cook 2–3 minutes until potatoes are tender.,step 3: Fry or poach an egg separately.,per 1 serving,"Approx 380 Calories, 17g Protein, 10g Fiber. Superb balance of complex carbs and fiber for steady energy and satiety.",380 kcal,17 g,45 g,10 g,15 g,3 g,12 g,250 mg,Provides **~10g fiber** to feed gut microbes and stabilize blood sugar. Black beans are rich in **magnesium and potassium** (electrolytes depleted by strain). Egg ensures all **essential amino acids** for muscle repair. Optional Greek yogurt adds **probiotics**.,Chili powder,"1/4 tsp (optional, for a bit of kick)",Salt and pepper,to taste,"step 4: Top hash with egg, cilantro, and optional Greek yogurt (probiotics).",Fresh cilantro,"1 tbsp, chopped (for garnish, optional)",Greek yogurt,"2 tbsp (optional, as a topping instead of sour cream)",,,,,,,,,,,,,,
