meal_id,meal_name,meal_type,tagline,prep_time,ingredients,method,nutrition,why_this_meal,tags
B-0001,Blueberry Almond Overnight Oats,Breakfast,Fiber & Probiotic Power Bowl,5 minutes (plus 6+ hours refrigeration),"{""serving_size"":""1 serving"",""list"":[{""item"":""Rolled oats"",""quantity"":""1/2 cup""},{""item"":""Milk (dairy or unsweetened plant-based)"",""quantity"":""1 cup""},{""item"":""Greek yogurt (plain, with live cultures)"",""quantity"":""1/4 cup""},{""item"":""Chia seeds"",""quantity"":""1 tablespoon""},{""item"":""Almond butter"",""quantity"":""1 tablespoon""},{""item"":""Blueberries (fresh or frozen)"",""quantity"":""1/2 cup""},{""item"":""Honey (optional, for sweetness)"",""quantity"":""1 teaspoon""},{""item"":""Cinnamon (optional)"",""quantity"":""1/4 teaspoon""}]}","[""step 1: In a jar or bowl, combine oats, milk, yogurt, chia seeds, almond butter, and cinnamon. Stir well."",""step 2: Cover and refrigerate overnight (or at least 6 hours) to let the oats soften."",""step 3: In the morning, stir the mixture. Top with blueberries and drizzle honey if desired."",""step 4: Enjoy cold, or warm it up briefly if you prefer a warm breakfast.""]","{""serving_unit"":""per 1 serving"",""summary"":""High in protein and fiber to keep you satisfied and promote gut health (oats and chia provide prebiotic fiber, while yogurt offers probiotics)."",""details"":{""Calories"":""380 kcal"",""Protein"":""20 g"",""Carbs"":""50 g"",""Fiber"":""12 g"",""Fat"":""12 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""12 g"",""Sodium"":""110 mg""}}","This make-ahead breakfast combines fiber-rich oats and chia seeds with Greek yogurt for probiotics and protein. Blueberries add antioxidants that help fight inflammation and support muscle recovery. Together, these ingredients keep you full and fuel your gut with prebiotics and probiotics for a healthy microbiome.","[""Recovery"",""Energy"",""Better Performance""]"
B-0002,Spinach & Feta Omelette with Whole Grain Toast,Breakfast,Green Omelette for Muscle & Gut,10 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Eggs"",""quantity"":""2 large""},{""item"":""Fresh spinach"",""quantity"":""1 cup (roughly chopped)""},{""item"":""Feta cheese"",""quantity"":""2 tablespoons (crumbled)""},{""item"":""Cherry tomatoes"",""quantity"":""4, halved (for a burst of antioxidants and vitamin C)""},{""item"":""Olive oil or butter"",""quantity"":""1 teaspoon (for cooking)""},{""item"":""Whole grain bread"",""quantity"":""1 slice, toasted (for serving)""},{""item"":""Salt and pepper"",""quantity"":""to taste""}]}","[""step 1: In a bowl, beat the eggs with a pinch of salt and pepper."",""step 2: Heat olive oil in a non-stick pan over medium heat. Add spinach and sauté 1 minute until wilted."",""step 3: Pour beaten eggs into the pan. Cook until the bottom sets, then sprinkle feta and tomatoes on one side."",""step 4: Fold the omelette in half over the fillings. Cook another 1–2 minutes until eggs are fully set."",""step 5: Slide onto a plate. Serve with a slice of whole grain toast on the side.""]","{""serving_unit"":""per 1 serving"",""summary"":""Packed with ~18 g protein from eggs (highly digestible) and extra from feta, plus fiber from spinach and whole grain. This meal supports gut health (leafy greens and whole grains feed good bacteria) and muscle maintenance."",""details"":{""Calories"":""300 kcal"",""Protein"":""18 g"",""Carbs"":""20 g"",""Fiber"":""4 g"",""Fat"":""16 g"",""Saturated_Fat"":""4.5 g"",""Sugars"":""3 g"",""Sodium"":""400 mg""}}","Eggs are a “perfect protein,” containing all essential amino acids (including glutamine, which helps repair the intestinal lining). The spinach adds fiber and folate for gut and overall health, while feta cheese provides calcium and live cultures if it’s aged (bonus probiotics!). This high-protein breakfast (eggs + feta) supports muscle repair and keeps you full, and the whole grain toast contributes extra fiber for your gut.","[""Recovery"",""Energy"",""Better Performance""]"
B-0003,Banana Almond Chia Smoothie,Breakfast,Gut-Friendly Energy Smoothie,5 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Banana"",""quantity"":""1 ripe (medium)""},{""item"":""Greek yogurt"",""quantity"":""1/2 cup (or use a scoop of protein powder as alternative)""},{""item"":""Almond butter"",""quantity"":""1 tablespoon""},{""item"":""Chia seeds"",""quantity"":""1 teaspoon""},{""item"":""Spinach"",""quantity"":""1 handful (optional, for extra greens and fiber)""},{""item"":""Unsweetened almond milk (or milk of choice)"",""quantity"":""1 cup""},{""item"":""Honey or dates (optional, for sweetness if needed)"",""quantity"":""1–2 teaspoons""}]}","[""step 1: Add banana, yogurt (or protein powder), almond butter, chia seeds, and spinach to a blender. Pour in the almond milk."",""step 2: Blend on high until completely smooth. If too thick, add a bit more liquid; if too thin, add ice or more banana."",""step 3: Taste and add honey/dates for sweetness if desired. Blend again briefly."",""step 4: Pour into a glass and enjoy immediately.""]","{""serving_unit"":""per 1 serving"",""summary"":""Rich in protein and fiber for satiety. Contains prebiotics (banana, chia) and probiotics (yogurt) for a healthy gut, plus electrolytes like potassium for recovery."",""details"":{""Calories"":""350 kcal"",""Protein"":""20 g"",""Carbs"":""40 g"",""Fiber"":""8 g"",""Fat"":""14 g"",""Saturated_Fat"":""1.5 g"",""Sugars"":""18 g"",""Sodium"":""100 mg""}}","This quick smoothie delivers fast energy and recovery nutrition. Banana is a low-fructose fruit rich in inulin, a prebiotic fiber that feeds good gut bacteria. Almond butter and chia seeds provide healthy fats, fiber, and plant protein, while Greek yogurt or protein powder boosts protein content for muscle repair. It’s easy to digest and perfect for a pre- or post-workout boost.","[""Recovery"",""Energy"",""Better Performance""]"
B-0004,Avocado & Cottage Cheese Power Toast,Breakfast,Creamy Gut-Nourishing Toast,8 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Whole grain bread"",""quantity"":""1–2 slices, toasted""},{""item"":""Cottage cheese"",""quantity"":""1/2 cup (low-fat or regular)""},{""item"":""Avocado"",""quantity"":""1/2 medium, sliced or mashed""},{""item"":""Cherry tomatoes"",""quantity"":""3–4, sliced""},{""item"":""Lemon juice"",""quantity"":""1 teaspoon (to drizzle on avocado for flavor and to prevent browning)""},{""item"":""Salt and pepper"",""quantity"":""to taste""},{""item"":""Red chili flakes or paprika"",""quantity"":""a pinch (optional, for a hint of spice)""}]}","[""step 1: Toast the whole grain bread and lay the slices on a plate. Spread or arrange the avocado on the toast, slightly mashing it. Drizzle with lemon juice and sprinkle with salt and pepper."",""step 2: Top the avocado with cottage cheese. Layer sliced cherry tomatoes on top of the cottage cheese."",""step 3: Sprinkle with red chili flakes or paprika if desired for an extra kick. Serve immediately.""]","{""serving_unit"":""per 1 serving"",""summary"":""High in protein from cottage cheese and healthy fats from avocado. This combo provides sustained energy and is gentle on the gut (low in sugar and refined carbs). The whole grains and avocado add fiber for digestive health."",""details"":{""Calories"":""320 kcal"",""Protein"":""18 g"",""Carbs"":""30 g"",""Fiber"":""8 g"",""Fat"":""12 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""6 g"",""Sodium"":""450 mg""}}","This savory breakfast toast is loaded with nutrients. Cottage cheese is high in protein and often contains live cultures similar to yogurt (great for gut health). Avocado provides fiber and potassium; it’s also a low-fructose fruit, less likely to cause bloating and rich in healthy fats that support sustained energy. The mix of protein and fiber keeps you full and supports muscle recovery, making it a power-packed start to the day.","[""Recovery"",""Energy"",""Power""]"
B-0005,Protein Pancakes with Berries & Kefir,Breakfast,Fluffy Probiotic Pancakes for Recovery,15 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Egg"",""quantity"":""1 large""},{""item"":""Kefir"",""quantity"":""1/2 cup (or use milk; kefir adds probiotics)""},{""item"":""Whole wheat flour"",""quantity"":""1/4 cup""},{""item"":""Protein powder"",""quantity"":""1 scoop (unflavored or vanilla)""},{""item"":""Baking powder"",""quantity"":""1/2 teaspoon""},{""item"":""Cinnamon"",""quantity"":""1/4 teaspoon""},{""item"":""Salt"",""quantity"":""a pinch""},{""item"":""Mixed berries"",""quantity"":""1/2 cup (for topping)""}]}","[""step 1: In a bowl, whisk together the egg, kefir, and a pinch of salt. In another bowl, mix the whole wheat flour, protein powder, baking powder, and cinnamon."",""step 2: Combine the wet and dry ingredients, stirring until just combined (some lumps are okay). Let the batter sit for a few minutes to thicken slightly."",""step 3: Heat a non-stick skillet over medium heat and add a little coconut oil or butter. Pour batter (~1/4 cup per pancake) onto the pan. Cook 2–3 minutes until bubbles form on top, then flip and cook another 2–3 minutes until golden. Repeat for remaining batter."",""step 4: Stack the pancakes on a plate. Top with mixed berries and drizzle with maple syrup or honey if desired. Serve warm.""]","{""serving_unit"":""per 1 serving"",""summary"":""These pancakes are high in protein and complex carbs for post-workout recovery. They contain probiotics from kefir and fiber from whole grains and berries to support gut health."",""details"":{""Calories"":""350 kcal"",""Protein"":""25 g"",""Carbs"":""40 g"",""Fiber"":""6 g"",""Fat"":""12 g"",""Saturated_Fat"":""4.5 g"",""Sugars"":""15 g"",""Sodium"":""300 mg""}}","These pancakes sneak in protein and gut benefits while feeling indulgent. They’re made with protein-rich ingredients (eggs and kefir or protein powder) and whole grains, providing a balanced mix of carbs and protein for muscle recovery. Berries add antioxidants that reduce exercise-induced inflammation and oxidative stress, which is great for muscle recovery after workouts. The batter’s kefir adds probiotics for gut health, making this a recovery meal that also nourishes your microbiome.","[""Recovery"",""Energy"",""Better Performance""]"
B-0006,Turmeric Tofu Scramble with Vegetables,Breakfast,Plant-Powered Anti-Inflammatory Scramble,15 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Firm tofu"",""quantity"":""1/2 block (about 6–7 oz), drained""},{""item"":""Turmeric"",""quantity"":""1/2 teaspoon (for color and anti-inflammatory benefits)""},{""item"":""Cumin"",""quantity"":""1/4 teaspoon""},{""item"":""Garlic powder"",""quantity"":""1/4 teaspoon""},{""item"":""Salt and pepper"",""quantity"":""to taste""},{""item"":""Olive oil"",""quantity"":""1 tablespoon (for sautéing)""},{""item"":""Mixed vegetables"",""quantity"":""1 cup chopped (e.g., bell peppers, onions, mushrooms, zucchini)""},{""item"":""Baby spinach"",""quantity"":""1 handful""}]}","[""step 1: Heat olive oil in a skillet over medium heat. Add chopped mixed vegetables and sauté for 5–7 minutes until they begin to soften. Add minced garlic (if using fresh) and cook 30 seconds until fragrant."",""step 2: Crumble the drained tofu with your hands or a fork into bite-sized pieces (resembling scrambled eggs). Push the veggies to one side of the pan and add the crumbled tofu."",""step 3: Sprinkle the tofu with turmeric, cumin, garlic powder, salt, and pepper. Stir well to coat and cook for about 5–7 minutes, allowing any excess moisture from the tofu to cook off and letting the edges brown slightly."",""step 4: Toss in the baby spinach and cook just until wilted (1–2 minutes). Remove from heat."",""step 5: Sprinkle nutritional yeast over the scramble if using, and stir to combine. Serve hot.""]","{""serving_unit"":""per 1 serving"",""summary"":""This tofu scramble is high in plant protein and provides an array of veggies. Turmeric and other spices add antioxidants and anti-inflammatory compounds, aiding muscle recovery and overall health."",""details"":{""Calories"":""300 kcal"",""Protein"":""20 g"",""Carbs"":""15 g"",""Fiber"":""5 g"",""Fat"":""18 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""4 g"",""Sodium"":""250 mg""}}","This vegan scramble uses tofu, a fermented soy protein that provides about 10 g of complete protein per serving and is gentle on the gut. Turmeric (with its active ingredient curcumin) and cumin add anti-inflammatory benefits to help reduce muscle soreness. The mix of colorful veggies offers fiber and antioxidants for recovery and digestion. It’s a hearty, plant-powered alternative to eggs that still delivers on protein and nutrients, supporting muscle repair and gut health.","[""Recovery"",""Energy"",""Better Performance""]"
B-0007,Apple Cinnamon Yogurt Bowl with Walnuts,Breakfast,Gut-Soothing Protein Bowl,5 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Greek yogurt"",""quantity"":""3/4 cup (plain, full-fat or 2%)""},{""item"":""Apple"",""quantity"":""1 small, diced (with skin for extra fiber)""},{""item"":""Walnuts"",""quantity"":""2 tablespoons, chopped""},{""item"":""Cinnamon"",""quantity"":""1/2 teaspoon""},{""item"":""Ground flaxseed"",""quantity"":""1 tablespoon (for extra fiber and omega-3s)""},{""item"":""Honey"",""quantity"":""1 teaspoon (optional, for sweetness)""}]}","[""step 1: In a bowl, stir the cinnamon and ground flaxseed into the Greek yogurt until well combined."",""step 2: Add the diced apple on top of the yogurt."",""step 3: Sprinkle the chopped walnuts over the apple and yogurt."",""step 4: Drizzle with honey if desired for additional sweetness. Enjoy immediately.""]","{""serving_unit"":""per 1 serving"",""summary"":""This bowl is rich in protein from yogurt and healthy fats from walnuts. The apple and flaxseed provide soluble fiber which supports a healthy gut and steady energy release."",""details"":{""Calories"":""250 kcal"",""Protein"":""15 g"",""Carbs"":""25 g"",""Fiber"":""5 g"",""Fat"":""12 g"",""Saturated_Fat"":""4 g"",""Sugars"":""15 g"",""Sodium"":""60 mg""}}","This simple yogurt bowl packs a triple punch for recovery: high-quality protein from Greek yogurt, fiber from apple (especially pectin in the skin) and flaxseed to support digestion, and omega-3 fatty acids from walnuts to combat inflammation. Cinnamon helps stabilize blood sugar. It’s a soothing combo that supports muscle repair (protein) and gut health (probiotics in yogurt and fiber in fruits/nuts) while providing quick and sustained energy.","[""Recovery"",""Energy"",""Better Performance""]"
B-0008,Quinoa Breakfast Porridge with Nuts & Berries,Breakfast,Warm Whole-Grain Fuel,20 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Quinoa"",""quantity"":""1/4 cup dry""},{""item"":""Water or milk"",""quantity"":""1/2 cup water (or milk of choice)""},{""item"":""Cinnamon"",""quantity"":""1/4 teaspoon""},{""item"":""Salt"",""quantity"":""a pinch""},{""item"":""Mixed berries"",""quantity"":""1/2 cup (fresh or frozen)""},{""item"":""Almonds or walnuts"",""quantity"":""2 tablespoons, chopped""},{""item"":""Greek yogurt"",""quantity"":""2 tablespoons (to stir in at end, optional for creaminess and protein)""},{""item"":""Honey or maple syrup"",""quantity"":""1 teaspoon (optional, for sweetness)""}]}","[""step 1: Rinse the quinoa under water. In a small saucepan, combine quinoa, water (or milk), cinnamon, and a pinch of salt. Bring to a boil, then reduce heat to low. Cover and simmer ~15 minutes until water is absorbed and quinoa is tender."",""step 2: Stir in a splash more liquid if needed to reach a porridge-like consistency. If using Greek yogurt instead of cooking with milk, stir it in after removing from heat (this cools the porridge slightly and adds creaminess and protein)."",""step 3: Transfer the quinoa porridge to a bowl. Top with mixed berries and chopped nuts."",""step 4: Drizzle with honey or maple syrup if desired for sweetness. Serve warm.""]","{""serving_unit"":""per 1 serving"",""summary"":""Quinoa provides complete protein and complex carbs for sustained energy. Nuts add healthy fats and additional protein, while berries contribute fiber and antioxidants."",""details"":{""Calories"":""300 kcal"",""Protein"":""12 g"",""Carbs"":""40 g"",""Fiber"":""6 g"",""Fat"":""10 g"",""Saturated_Fat"":""1.5 g"",""Sugars"":""10 g"",""Sodium"":""70 mg""}}","Quinoa is a high-protein whole grain, making it an excellent breakfast base for muscle recovery and sustained energy. This porridge gives you complex carbs and fiber for steady fuel, plus protein and probiotics if you stir in yogurt. Berries add antioxidants that reduce inflammation from exercise, and nuts provide omega-3s and magnesium for muscle function. It’s a balanced breakfast to support immunity, gut health, and muscle recovery.","[""Recovery"",""Energy"",""Better Performance""]"
B-0009,Chia Seed Pudding with Kiwi & Almonds,Breakfast,Omega-3 Fiber Pudding,5 minutes (plus 4+ hours refrigeration),"{""serving_size"":""1 serving"",""list"":[{""item"":""Chia seeds"",""quantity"":""3 tablespoons""},{""item"":""Milk"",""quantity"":""3/4 cup (dairy or plant-based)""},{""item"":""Vanilla extract"",""quantity"":""1/2 teaspoon""},{""item"":""Honey or maple syrup"",""quantity"":""2 teaspoons (optional, for sweetness)""},{""item"":""Kiwi"",""quantity"":""1, peeled and sliced""},{""item"":""Almonds"",""quantity"":""2 tablespoons, sliced or chopped""}]}","[""step 1: In a jar or bowl, whisk together chia seeds, milk, vanilla extract, and honey/maple syrup (if using)."",""step 2: Let the mixture sit for 5 minutes, then stir again to break up any clumps of chia seeds."",""step 3: Cover and refrigerate at least 4 hours or overnight, until the chia pudding is thick and creamy."",""step 4: When ready to eat, stir the pudding. Top with sliced kiwi and sprinkle with almonds. Enjoy chilled.""]","{""serving_unit"":""per 1 serving"",""summary"":""Chia seeds are rich in fiber and omega-3 fatty acids, which help reduce inflammation. The pudding provides a good balance of healthy fats, fiber, and protein (especially if using dairy milk), keeping you full and supporting gut health."",""details"":{""Calories"":""250 kcal"",""Protein"":""8 g"",""Carbs"":""25 g"",""Fiber"":""10 g"",""Fat"":""14 g"",""Saturated_Fat"":""2.5 g"",""Sugars"":""10 g"",""Sodium"":""50 mg""}}","Chia seeds are tiny nutritional powerhouses – they’re packed with fiber (10 g per 2 tablespoons) and omega-3s, which lower inflammation. This make-ahead pudding gives a dose of healthy fats and fiber that promote a healthy gut and heart. Kiwi adds vitamin C and more fiber, and almonds contribute vitamin E and magnesium. It’s a convenient, nutrient-dense breakfast or snack that supports digestion and recovery.","[""Recovery"",""Energy"",""Better Performance""]"
B-0010,Berry Beet Smoothie Bowl,Breakfast,Antioxidant-Rich Performance Bowl,8 minutes,"{""serving_size"":""1 serving"",""list"":[{""item"":""Beetroot"",""quantity"":""1 small, cooked and chopped (or 1/2 cup canned unsalted beets)""},{""item"":""Mixed berries"",""quantity"":""1 cup (frozen or fresh; e.g., strawberries, blueberries)""},{""item"":""Greek yogurt"",""quantity"":""1/2 cup (or unsweetened protein powder, 1 scoop)""},{""item"":""Banana"",""quantity"":""1/2 (preferably frozen, for thickness)""},{""item"":""Almond milk"",""quantity"":""1/2 cup (or milk of choice)""},{""item"":""Honey"",""quantity"":""1 teaspoon (optional, for sweetness)""},{""item"":""Granola or crushed nuts"",""quantity"":""2 tablespoons (for topping, optional)""}]}","[""step 1: In a blender, combine the cooked beetroot, mixed berries, Greek yogurt (or protein powder), banana, and almond milk. Blend until completely smooth. Add a little extra liquid if needed to reach desired consistency."",""step 2: Taste and add honey if additional sweetness is desired. Blend again briefly."",""step 3: Pour the smoothie into a bowl. If it’s too thin, you can place it in the freezer for 10 minutes to thicken."",""step 4: Top with granola or crushed nuts for some crunch, if desired. Enjoy with a spoon.""]","{""serving_unit"":""per 1 serving"",""summary"":""This vibrant bowl is loaded with natural nitrates from beets, which can improve blood flow and endurance. It also provides ample antioxidants from berries and beets to combat inflammation."",""details"":{""Calories"":""250 kcal"",""Protein"":""15 g"",""Carbs"":""35 g"",""Fiber"":""8 g"",""Fat"":""4 g"",""Saturated_Fat"":""1.5 g"",""Sugars"":""20 g"",""Sodium"":""150 mg""}}","This smoothie bowl is both a recovery booster and a performance enhancer. The natural nitrates in beets may improve blood flow, helping exercise performance and recovery. Berries add antioxidants that fight inflammation and oxidative stress from workouts. Greek yogurt or protein powder ensures you get ~15+ grams of protein for muscle repair. Together, the ingredients offer muscle recovery and complex carbs for energy. The bowl is also high in fiber (beets and berries) to support gut health.","[""Recovery"",""Energy"",""Better Performance""]"
